iter	Logloss
0	0.5320866833
1	0.4103266094
2	0.3511419489
3	0.3207572462
4	0.3038714157
5	0.2938712901
6	0.2873021958
7	0.2823555829
8	0.2787739252
9	0.2762070754
10	0.2743094085
11	0.2727433138
12	0.2714496219
13	0.2704629289
14	0.2696552689
15	0.2692097941
16	0.2687728881
17	0.2683111
18	0.2679971114
19	0.2676713811
20	0.2673567693
21	0.2671047973
22	0.2669402215
23	0.2667144224
24	0.2664989089
25	0.2663000471
26	0.2661250566
27	0.26599246
28	0.2659092206
29	0.2658126833
30	0.2657210264
31	0.2656571478
32	0.2656053834
33	0.2654965927
34	0.2654163883
35	0.2653461702
36	0.2652562667
37	0.2651705743
38	0.2651090202
39	0.2650398508
40	0.2649704537
41	0.2648959798
42	0.2648443913
43	0.2648028942
44	0.2647563689
45	0.2647095498
46	0.2646726434
47	0.2646228652
48	0.2645623641
49	0.2645520119
50	0.264522607
51	0.2644927157
52	0.2644301026
53	0.2643903014
54	0.2643622933
55	0.2643291358
56	0.2643182785
57	0.2642912269
58	0.2642873671
59	0.2642500858
60	0.2642290822
61	0.2642046318
62	0.2641672885
63	0.2641534823
64	0.2641111859
65	0.264093809
66	0.2640698594
67	0.2640250891
68	0.2640015306
69	0.2639896298
70	0.2639639083
71	0.2639361399
72	0.2639135303
73	0.2638891293
74	0.2638633068
75	0.2638139663
76	0.2637722708
77	0.2637683142
78	0.2637102763
79	0.2636945341
80	0.263648395
81	0.263600365
82	0.2635743352
83	0.2635651786
84	0.2635347998
85	0.2635284938
86	0.263523614
87	0.2635104308
88	0.2634973444
89	0.2634634585
90	0.2634378498
91	0.2634096107
92	0.2633707388
93	0.2633325089
94	0.2633019998
95	0.2632958568
96	0.2632694299
97	0.2632350462
98	0.2632061741
99	0.2631877116
100	0.2631532762
101	0.2631340842
102	0.2631330083
103	0.2631235056
104	0.2630768794
105	0.2630348851
106	0.2629989596
107	0.2629684532
108	0.2629621051
109	0.2629295006
110	0.2628958346
111	0.2628701111
112	0.2628602626
113	0.2628359707
114	0.2628139807
115	0.2627794247
116	0.2627741725
117	0.2627694462
118	0.2627601437
119	0.2627411815
120	0.2626944478
121	0.2626944454
122	0.2626895633
123	0.2626568355
124	0.2626466095
125	0.2626404095
126	0.2626177149
127	0.2625939204
128	0.2625794303
129	0.2625535528
